PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
34.5,86,0.55,16.73,9.35,4.65,5.45,0.39,21.35,0.1,0.77,25.67,63.5,0.95,219.75,None
38.25,96,1.05,17.08,9.97,4.7,5.57,0.51,20.75,0.1,1,25.37,66.75,1.03,196.25,None
38.5,96.25,0.75,18.02,10.22,4.38,5.47,0.69,20.15,0.2,1.35,25.1,69.25,1,200.75,None
46,115,0.73,18.45,10.4,4.42,5.73,0.81,20.69,0.2,1.6,24.88,66,1.15,215,None
44.5,111.25,0.78,18.4,10.4,4.4,5.47,0.92,21.48,0.23,1.8,25.2,52.75,1.55,236.25,None
39.75,99.5,0.93,19.7,11.25,3.33,5.77,1.08,21.34,0.28,2.12,25.93,42.75,1.85,255.5,None
38.25,96,1,19.65,11.28,2.95,5.65,1.06,21.67,0.3,2.12,26.95,43.5,2.05,263.75,None
34.5,86.25,0.95,18.62,10.67,3.1,5.5,0.83,22.18,0.2,1.65,27.52,41.75,2,242,None
28.25,70.75,0.47,17.68,9.77,3.2,5.42,0.7,22.09,0.2,1.4,28.23,37.25,2.1,235.25,None
24.5,61.5,0.57,16.25,9.07,3.1,5.53,0.66,22.65,0.2,1.3,28.8,34.5,2.03,228.5,None
27.5,68.5,0.88,15.45,8.92,3.15,5.5,0.61,23.58,0.18,1.2,29.32,34.75,1.82,221,None
23,58,0.75,15.82,9.03,3,5.43,0.58,22.89,0.15,1.18,29.75,33.5,2.05,220.5,None
23,58,0.57,17.12,9.57,2.48,5.35,0.71,21.51,0.2,1.4,29.92,33.75,1.8,248.5,None
24.25,61,0.52,17.57,9.78,3.25,5.47,0.77,21.52,0.2,1.52,29.67,34.75,1.25,223.75,None
29.75,74.5,0.85,20.35,11.52,2.45,5.65,1.42,19.29,0.35,2.8,29.25,34.5,1.02,229,None
34.5,86.5,0.97,20.23,11.58,3.45,5.7,1.38,18.86,0.33,2.73,28.85,35.25,1.15,222.75,None
32.25,80.25,0.95,19.73,11.25,4.05,5.43,1.2,18.94,0.3,2.37,28.38,35.25,1.42,230.5,None
32,80,0.65,21.62,12.02,3.18,5.5,1.25,18.5,0.35,2.48,27.88,36.75,1.12,236.5,None
36,90,0.95,20.73,11.8,4.2,5.6,0.92,18.9,0.2,1.8,27.4,36.75,1.18,233.75,None
30,75,0.97,19.47,11.1,4.77,5.63,0.71,19.51,0.2,1.4,27.1,38.67,1.2,228,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26.5,66,0.82,16.78,9.58,2.55,5.32,0.61,23.84,0.17,1.2,27.93,30.5,1.65,232.5,None
29.5,74,0.62,15.75,8.88,2.55,5.5,0.6,23.89,0.15,1.18,28.6,29.25,1.95,244.25,None
24.5,61,0.7,15.27,8.73,2.45,5.53,0.56,24.14,0.12,1.12,29.33,26,1.88,235.5,None
24.25,61,0.73,15.43,8.8,2.17,5.47,0.61,23.66,0.17,1.22,29.83,24,1.93,257.25,None
26.75,67,1,17,9.85,1.65,5.75,0.75,21.46,0.2,1.47,30,23.5,2.08,268.25,None
27,68,0.65,17.88,10.05,1.78,5.77,1.02,21.36,0.23,2.03,30,25,1.58,271.5,None
42.25,106,0.88,20.62,11.7,1.35,5.72,1.61,18.86,0.4,3.18,29.62,27.75,0.9,163,None
59,147.5,1.07,25.78,14.6,0.9,5.9,3.24,18.22,0.82,6.4,28.88,32.75,0.6,85.5,None
75.25,188,0.85,27.6,15.35,1.73,6,3.2,17.93,0.8,6.3,28.17,35.25,0.85,194.25,None
58.75,146.5,1,24.27,13.72,3.62,5.7,1.92,17.91,0.5,3.8,27.58,39,0.4,83.5,None
51.75,129.5,0.95,21.15,12,4.4,5.53,1.32,18.58,0.33,2.65,27.02,39.75,0.73,80.25,None
55.75,139.75,0.97,20.77,11.85,3.55,5.57,1.13,17.99,0.3,2.25,26.48,42.25,0.38,47.5,None
71.25,178.25,0.68,22.38,12.45,2.55,5.77,1.08,17.9,0.3,2.13,26.05,49,0.25,56.75,None
64.75,162.25,0.7,18.85,10.62,4.5,5.5,0.68,23.3,0.18,1.33,25.7,62,0.92,82.25,None
35,87.5,0.65,14.97,8.5,4.67,5.1,0.47,28.82,0.1,0.95,25.6,70.75,1.07,101,None
44,110,0.5,12.15,6.9,3.85,5,0.27,27.88,0.1,0.53,25.55,78.5,1.18,106.25,None
58,145,0.8,10.82,6.4,3.12,5.32,0.2,27.07,0.07,0.4,25.65,81,0.97,73.75,None
44,110,0.62,12,6.87,2.38,5.57,0.42,22.86,0.1,0.82,25.58,66.5,1.1,174.5,None
38.25,95.75,0.77,14.07,8.1,1.93,5.57,0.51,20.97,0.1,1,25.15,47.25,0.9,187,None
40.25,101,0.62,14.08,7.98,2.47,5.6,0.62,22.27,0.17,1.23,24.68,47,0.75,202.5,None
45.75,114.5,0.62,13.65,7.77,3.03,5.65,0.62,28.15,0.2,1.2,24.82,42.25,0.77,87.75,None
50,125.5,0.7,13.33,7.67,2.85,5.8,0.56,33.76,0.1,1.1,26.93,37.5,1.02,161.25,None
45.75,114.75,0.7,12.97,7.48,2.65,5.72,0.52,42.23,0.1,1.05,27.85,36,1.05,154.75,None
41.5,103.75,0.65,12.28,7.08,2.25,5.67,0.5,46.44,0.1,0.97,29.88,35.75,1.2,142.25,None
38.75,97,0.7,11.82,6.88,1.85,5.55,0.49,43.21,0.1,0.97,30.7,34.75,1.32,180,None
33.5,84,0.67,10.73,6.27,1.07,5.47,0.44,55.61,0.1,0.87,33.48,32.75,1.27,198.5,None
29,72,None,None,None,None,5.83,0.42,75.18,0.1,0.83,35.83,32,1.43,148.67,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,29,15.05,None,6.2,0.64,None,0.13,1.27,34.1,44,1.1,98.33,None
32.5,77.75,0.7,18.68,10.5,None,5.9,0.62,None,0.17,1.23,32.22,45.25,1.2,145.25,None
32,76.5,0.73,14.55,8.3,0.53,6.07,0.55,None,0.1,1.05,30.53,47,1.25,133,None
38,91.25,0.5,13.98,7.85,1.02,5.9,0.65,None,0.17,1.3,29.6,47.5,1.05,170.5,None
43,103.25,0.57,14.62,8.25,1.43,5.83,0.59,None,0.15,1.15,28.73,50.25,0.88,199.75,None
32.75,78.25,1.05,13.9,8.25,2.4,6.12,0.43,None,0.1,0.83,28.08,50.5,0.93,132.75,None
37,88.75,1.05,13.88,8.23,2.6,6.07,0.35,None,0.1,0.7,27.45,54,0.93,181.75,None
31,74.75,0.62,12.8,7.3,2.9,6,0.3,15.12,0.1,0.6,26.95,57,1.32,180.25,None
24.75,59.5,0.95,12.62,7.5,2.95,5.8,0.29,18.47,0.1,0.57,26.48,63.75,1.5,183.25,None
34.25,82,0.9,13.12,7.75,2.67,5.72,0.31,18.39,0.1,0.6,26.05,68,1.12,198.25,None
37.5,89.75,0.88,14.15,8.25,2.27,5.83,0.43,18.48,0.1,0.85,25.7,70.5,0.9,209.5,None
36,86,0.43,13.57,7.45,2.78,5.75,0.45,18.39,0.1,0.9,25.4,73.25,1.43,179.25,None
35.75,85.5,0.65,13.6,7.45,2.75,5.73,0.53,18.34,0.1,1.05,25.12,74,1.48,180.25,None
35.75,85.75,0.52,13.57,7.68,2.62,5.53,0.72,18.11,0.2,1.4,25.17,66.75,1.42,208,None
36.25,86.75,1.15,14.1,8.45,2.4,5.67,0.91,20.46,0.23,1.8,25.98,57.5,1.18,217.25,None
33.75,80.75,0.35,14.93,8.22,1.95,5.7,0.95,22.6,0.22,1.88,27.65,47.75,1.15,184.75,None
41.75,100.25,0.6,14.9,8.43,1.57,5.77,0.91,22.81,0.22,1.8,28.52,41.75,1.57,175,None
37,88.5,0.72,13.2,7.65,1.45,5.7,0.7,22.54,0.2,1.4,28.35,37,1.48,151.75,None
26.25,63,0.85,12.38,7.3,1.15,5.57,0.61,22.23,0.17,1.23,29.08,33.75,1.52,222.5,None
29.25,70.25,0.88,12.3,7.25,1.38,5.45,0.52,21.99,0.12,1.03,29.73,32.75,1.25,153,None
27.25,65.5,0.82,12.93,7.55,1.1,5.4,0.57,21.9,0.12,1.12,30,29.25,1.38,203.5,None
29.5,70.75,0.75,14.75,8.47,0.65,5.93,0.76,42.67,0.2,1.53,30.18,28.5,1.35,240.5,None
32.25,77.75,1.07,15.25,8.97,1.15,6.37,0.96,43.66,0.25,1.9,30.2,28.25,1.42,240.5,None
33.5,80.5,0.65,19.43,10.85,0.45,5.5,2.03,41.71,0.53,3.98,29.95,30.25,1.2,259,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,46,0.7,11.9,6.9,2.8,None,None,None,None,None,27.3,67,1.6,93,None
20.5,49.5,0.6,11.1,6.4,2.4,5.65,None,32.22,None,None,26.98,67.25,1.1,102.25,None
24.75,59.5,0.62,10.77,6.22,2.27,5.63,0.42,32.19,0.1,0.85,26.57,67.25,1.15,110,None
24.25,58.5,0.8,11.32,6.65,1.83,5.7,0.43,24.54,0.1,0.85,26.28,69,1.18,147.5,None
26.25,63,0.62,11.35,6.55,2.08,5.57,0.47,24.27,0.1,0.95,25.92,70.25,0.95,162.75,None
31.5,75.5,0.73,12.1,7.03,2.12,5.77,0.91,24.75,0.2,1.8,25.62,72.25,1.07,182,None
34.25,82,0.8,12.62,7.35,2.08,5.9,0.46,24.93,0.1,0.93,25.42,73,1.15,177.75,None
29.5,71,0.5,13.12,7.4,2.15,5.7,0.49,24.53,0.1,0.97,25.2,74.5,0.93,176.75,None
31,74,0.57,12.73,7.25,2.4,5.7,0.5,24.47,0.1,0.97,25.07,70.75,1.25,173.25,None
30.75,73.5,0.6,12.9,7.38,2.4,5.83,0.66,24.89,0.17,1.3,25.43,61,1.4,202,None
31.5,75.5,0.62,12.75,7.3,2.42,5.9,0.71,24.96,0.17,1.4,26.75,52.25,1.37,192.25,None
34.75,83,0.75,13.53,7.8,2.1,5.27,0.82,23.63,0.2,1.62,28.12,43.25,1.3,200.25,None
31,74,0.63,12.73,7.33,1.87,4.6,0.76,22.04,0.2,1.5,28.7,39.33,1.53,175.67,None
33.67,80.67,0.8,11.53,6.77,1.6,5.27,0.69,23.64,0.2,1.4,28.87,34.67,1.43,183,None
38.75,93.25,0.95,11.35,6.83,1.3,5.5,0.68,30.33,0.2,1.32,29.58,31.5,1.45,202.75,None
36.67,88,0.43,11.17,6.23,1.4,5.17,0.63,31.17,0.2,1.27,30.37,30.67,1.43,203.33,None
33.25,80,0.57,12.57,7.12,0.98,5.33,0.77,31.58,0.2,1.53,30.83,29.25,1.6,234,None
32,76.5,0.65,15,8.47,0.55,5.03,1,39.65,0.27,1.97,31,29.5,1.78,275,None
35.25,84.5,0.57,16.5,9.27,0.6,4.63,1.14,49.64,0.3,2.28,30.92,29,1.35,258,None
40.25,96.25,0.7,18.75,10.55,0.73,5.68,1.28,51.88,0.3,2.53,30.5,34.5,1.27,200.5,None
49.75,119.25,0.75,14.7,8.43,2.53,5.73,0.9,52.09,0.2,1.77,30.02,47.75,1.35,116.25,None
39.75,95.5,0.8,12.7,7.43,2.45,5.6,0.7,51.74,0.2,1.37,29.4,53.75,1.55,93.75,None
34.75,83.75,0.75,10.27,6.05,2.08,5.37,0.51,51.23,0.1,1,28.75,55.75,1.33,96.75,None
22.75,54.75,0.75,9.53,5.7,1.8,5.92,0.43,52.55,0.1,0.85,28.08,62.25,1.35,97.75,None
25,60,0.6,9.32,5.47,1.7,6.23,0.37,53.19,0.1,0.73,27.57,66,1.45,108.5,None
25.75,61.75,0.95,9.25,5.7,1.5,5.88,0.33,39.45,0.1,0.67,27.07,66,1.55,114.25,None
27.25,65.25,0.75,9.25,5.53,1.6,5.3,0.33,21.72,0.1,0.67,26.75,67.25,1.55,127.5,None
25,60,0.6,9.18,5.35,1.65,5.7,0.36,22.61,0.1,0.7,26.35,68.25,1.4,160.5,None
23.5,56.5,0.55,9.85,5.67,1.8,5.63,0.33,22.38,0.1,0.67,26.02,68,1.3,149,None
20.25,49,0.47,10.17,5.8,1.95,5.78,0.34,22.7,0.1,0.7,25.75,68.75,1.25,156.5,None
26.5,64,0.52,11,6.27,1.68,5.93,0.5,23.13,0.12,0.98,25.55,70.25,1.2,170.75,None
33,79.5,0.82,12,7.05,1.7,6.12,0.62,23.56,0.17,1.2,25.38,71,1.05,168.25,None
30,72,0.62,12.5,7.17,1.97,6.13,0.66,23.56,0.2,1.32,25.25,69.5,1,171,None
29.25,70.25,0.53,11.53,6.55,2.3,5.83,0.67,22.87,0.17,1.33,25.35,66.25,1.2,175.75,None
28,67.25,0.45,11.72,6.62,2.25,6.03,0.61,23.34,0.15,1.2,26.07,59,1.08,177,None
29.25,70,0.6,11.8,6.75,2,5.05,0.62,30.07,0.17,1.22,27.82,53,1.3,202.25,None
25.25,61,0.75,11.68,6.82,1.82,4.63,0.62,30.01,0.17,1.23,29.03,46,1.45,180.75,None
30.5,73.5,0.68,12,6.92,1.58,5.33,0.71,31.55,0.2,1.43,29.8,43.5,1.3,186.5,None
34,81.5,0.85,11.9,7,1.82,5.47,0.57,31.9,0.1,1.15,30.4,40.75,1.35,187.5,None
30.25,72.25,0.73,11.75,6.82,1.85,5.65,0.57,32.24,0.15,1.12,30.38,38,1.3,165.75,None
28.5,68.25,0.77,11.38,6.65,1.78,5.87,0.47,32.82,0.1,0.93,30.38,43,1.9,118.75,None
30.75,73.75,0.82,10.12,6.08,1.5,5.83,0.41,32.7,0.1,0.83,30.2,43.25,1.98,112,None
33,79,0.75,9.52,5.7,1.3,6.13,0.41,51.41,0.1,0.8,29.88,45.75,1.67,112.25,None
33.75,80.75,0.42,9.6,5.45,1.32,5.62,0.51,51.84,0.1,1.02,29.45,49.25,1.65,119.5,None
36,86,0.65,9.33,5.47,1.3,5.5,0.5,51.55,0.1,1,28.9,53.25,1.5,110.25,None
37.5,89.75,0.72,9.88,5.88,1.2,5.38,0.61,51.28,0.17,1.23,28.3,54.25,1.3,131,None
41.5,99.75,0.85,11.28,6.67,1.2,5.23,0.81,50.99,0.2,1.58,27.85,56,0.85,127,None
39,93.5,0.77,10.6,6.3,1.83,5.8,0.62,52.2,0.17,1.23,27.35,60,0.87,83.5,None
37.25,89,0.62,11.15,6.43,1.7,6.1,0.71,52.94,0.2,1.4,26.93,62,0.8,74,None
42,100.5,0.65,11.88,6.85,1.65,6.12,0.67,53.02,0.2,1.33,26.55,62.5,0.55,121,None
46.5,111.5,0.78,12.45,7.2,1.83,5.97,0.56,52.59,0.12,1.08,26.23,60.25,0.9,163.25,None
48,115,0.78,13.05,7.55,1.77,5.62,0.52,51.89,0.1,1.02,25.98,62.75,0.7,192,None
38,91.5,0.68,13.35,7.65,2.03,5.87,0.52,52.32,0.1,1,25.78,64,0.95,193.5,None
35.25,84.5,0.65,12.88,7.4,2.23,5.65,0.5,51.91,0.1,1,25.55,65,1.12,187.5,None
34.75,83,1,13.7,8.07,1.8,5.37,0.54,51.22,0.1,1.08,25.3,63,1.18,206,None
32,76.5,0.78,14.3,8.22,1.82,5.78,0.66,52.17,0.15,1.27,25.1,64,1.07,235.5,None
36.5,87.5,1.02,14.35,8.45,2.08,6.17,0.76,53.01,0.2,1.5,25,60.75,1.08,235.75,None
40.25,96.25,0.62,13.85,7.85,2.32,5.92,0.8,52.57,0.2,1.57,25.2,53.5,1.6,266,None
38,91,0.62,14.03,7.95,2,6,0.83,52.64,0.2,1.65,25.88,47.25,1.47,255.5,None
35.25,84.5,0.53,13.7,7.75,1.9,5.42,0.8,51.42,0.2,1.6,27,43.75,1.5,265.25,None
26.5,63.75,0.82,12.93,7.55,2.02,5,0.69,50.5,0.2,1.38,27.7,40.5,1.58,213,None
25.75,61.75,0.62,12.77,7.3,1.77,5.33,0.69,51.14,0.2,1.4,28.47,38.75,1.35,220.75,None
27.75,66.5,0.62,12.28,7.03,1.77,5.4,0.58,51.26,0.12,1.18,30.38,38,1.4,180.25,None
26.25,63.25,0.72,11.8,6.88,1.8,5.17,0.52,50.78,0.1,1.03,30.92,37.25,1.38,161.25,None
24,58,0.75,11.6,6.75,1.73,4.6,1.07,49.48,0.25,2.1,31,36.5,1.58,187,None
23.75,57.25,0.67,11.88,6.88,1.65,5.25,1.74,50.96,0.4,3.47,30.92,38.5,1.6,188.25,None
24,57.5,0.85,11.4,6.75,1.98,6.1,0.69,52.89,0.2,1.35,30.67,40,1.25,160.75,None
29.75,71.5,0.83,11.75,6.9,2.12,5.78,0.69,52.15,0.2,1.35,30.25,41,0.5,79.5,None
36.25,86.75,0.83,11.72,6.9,2.03,5.53,0.66,51.57,0.18,1.33,29.7,48.25,1.27,97.5,None
32,76.67,0.5,10.83,6.23,1.9,5.63,0.63,51.8,0.2,1.25,29.2,51.33,1.1,97.33,None
32.5,78.25,0.82,9.8,5.9,1.9,5.8,0.52,52.24,0.1,1.02,28.65,51.5,1.22,99,None
28.75,68.75,0.75,9.72,5.8,1.73,5.67,0.56,32.37,0.12,1.1,28.17,56.5,1.48,155.75,None
30.75,73.5,0.82,11.12,6.62,1.55,5.53,0.58,31.96,0.12,1.15,27.67,60.25,1.4,205,None
29.5,70.75,0.72,11.2,6.53,1.68,5.9,0.48,32.81,0.1,0.93,27.42,59.25,1.4,185.5,None
27.25,65.25,0.9,11.05,6.62,1.88,6.23,0.48,33.66,0.1,0.95,28.25,73.25,0.88,192.25,None
23.75,57,0.72,10.6,6.25,2.15,6.3,0.45,33.69,0.1,0.88,27.7,74,0.95,209.5,None
20.5,49.25,0.6,11.02,6.38,2.3,5.87,0.39,32.75,0.1,0.75,26.83,66.75,1.35,216,None
23.25,56,0.73,11.95,6.93,2.08,6,0.4,33,0.1,0.77,25.8,66.25,1.32,238.25,None
27.5,66.25,0.62,12.68,7.27,1.9,5.9,0.42,32.9,0.1,0.82,25.3,66.75,1.35,236.75,None
30,72.25,0.65,14.3,8.12,1.67,5.85,0.61,32.79,0.12,1.2,25.02,65.5,1.25,236.5,None
34.75,83.25,0.67,15.07,8.6,1.9,6.07,0.73,33.19,0.2,1.45,24.83,63.5,1.18,234,None
38.5,92.5,0.88,15.32,8.85,2.05,5.72,0.91,32.43,0.23,1.8,25.08,54.25,1.38,240.75,None
34.5,83,0.55,17.47,9.72,1.3,5.73,1.24,32.4,0.3,2.48,25.73,37.75,2.08,282.5,None
33.75,80.75,0.57,17.38,9.68,1.58,5.35,1.12,31.57,0.28,2.2,26.48,30,2.58,272.5,None
27.25,65.5,0.45,16.2,9,1.58,4.83,0.85,30.43,0.2,1.7,27.43,30.75,2.12,244.5,None
26.5,63.5,0.57,15.72,8.85,1.5,5.5,0.77,31.98,0.2,1.5,28.32,28.25,1.75,211.5,None
23,55.33,0.73,13.53,7.8,1.7,5.8,0.55,32.55,0.1,1.07,29.1,27,1.9,169.33,None
23.5,56.5,0.6,11.82,6.78,1.75,5.48,0.42,31.87,0.1,0.85,30.07,25.5,1.7,114,None
20.25,49,0.62,11.97,6.85,1.1,5.27,0.54,42.71,0.1,1.07,32.78,25,1.8,174.25,None
25.75,62,0.57,12.9,7.35,0.83,5.88,0.55,52.39,0.13,1.07,32.55,25,1.38,132.75,None
29.25,70,0.53,12.4,7,1.55,5.87,0.43,52.29,0.1,0.85,31.85,26.5,1.2,70.75,None
31.25,75.25,0.8,15.45,8.85,0.73,5.92,1.34,52.51,0.35,2.67,31.23,29.5,0.7,63.5,None
59.75,143.25,0.78,21.35,12,None,6.4,2.82,53.56,0.7,5.58,30.35,33.5,0.57,132.5,None
81,194.5,0.77,24.83,13.85,None,6.3,3.21,53.36,0.8,6.37,29.5,35.5,0.58,192.75,None
86,206.75,0.45,26.55,14.5,0.3,6.73,2.74,54.3,0.7,5.45,28.65,37.5,0.7,60.5,None
87,209,0.78,25.38,14.15,1.8,5.8,2.39,52.24,0.6,4.72,27.88,40,0.5,63.5,None
74,177.75,0.92,26.4,14.8,1.63,5.53,2.39,51.64,0.57,4.72,27.2,44,0.57,59.75,None
75.75,181.75,0.6,23.53,13.02,3.55,5.65,1.45,22.49,0.37,2.87,26.62,44.5,0.57,113,None
63.25,151.75,1.07,21.05,12.05,3.75,5.87,1.32,22.95,0.3,2.6,26.17,53,0.35,54.25,None
61.75,148.5,0.75,19.4,10.93,3.8,5.8,1.11,22.84,0.27,2.2,25.78,57,0.68,166.75,None
56.5,135.5,0.95,17.42,10,3.7,5.9,0.92,23.06,0.2,1.8,25.55,58,0.7,140.5,None
63.25,151.5,0.47,17.68,9.8,2.72,5.77,0.91,22.69,0.2,1.8,25.27,61.25,0.35,127.25,None
67,160.75,0.65,17.28,9.7,2.83,5.53,0.91,22.24,0.2,1.77,25.08,63.25,0.35,119,None
66,158.25,0.93,18.55,10.6,1.85,6.07,1.24,23.39,0.28,2.48,24.9,65,0.45,52,None
87,208.75,0.45,18.97,10.48,2.15,6.5,1.18,24.3,0.3,2.33,24.88,61.25,0.7,74.25,None
70.33,168.67,0.67,15.9,9,3.17,6.07,0.94,23.46,0.25,1.85,25.4,54,0.97,131.33,None
50.75,121.75,0.95,15.72,9.1,2.4,5.83,0.99,22.93,0.22,1.95,26.7,36,1.48,194.5,None
35.25,84.5,0.8,15,8.6,1.95,5.4,0.81,41.49,0.2,1.6,27.4,31.25,1.35,174.25,None
28,67.25,0.73,13.2,7.62,1.9,5.5,0.6,41.68,0.15,1.18,28.38,30.25,1.15,133,None
30.75,73.5,0.73,12.3,7.12,1.48,5.82,0.48,42.47,0.1,0.97,29.27,28.5,1.3,150,None
28.75,69,0.73,11.68,6.8,1.38,5.73,0.49,42.3,0.1,0.95,30.03,27,1.38,106.75,None
27,64.75,0.85,10.75,6.4,1.23,5.88,0.48,42.56,0.1,0.97,30.62,26.25,1.4,113.75,None
33,79,0.6,11.45,6.57,0.8,6.37,0.54,43.68,0.1,1.08,31,25.5,1.38,165.5,None
33.5,80.25,0.7,12.45,7.17,0.72,6.1,0.54,43.02,0.1,1.07,31.22,25,1.2,197.75,None
34.75,83.5,0.7,13.4,7.7,0.78,6.13,0.65,43.17,0.17,1.3,31.12,25.75,0.88,161.5,None
41.5,100,0.9,14.98,8.7,0.8,6.05,1.34,42.95,0.35,2.67,30.75,30,0.68,65.75,None
62,149,0.67,15.48,8.78,1.7,6,1.27,42.88,0.33,2.5,30.17,39.5,1.35,97.25,None
51.5,123.25,0.62,11.4,6.58,2.1,5.7,0.83,42.17,0.2,1.6,29.58,54,1.65,103.5,None
35.75,85.75,0.55,9.83,5.7,1.65,5.5,0.62,41.74,0.18,1.23,29.05,57.75,1.57,89.75,None
29.5,71,0.65,9.3,5.47,1.5,5.22,0.52,36.96,0.1,1.03,28.5,59,1.1,100.75,None
32.25,77,0.62,9.15,5.35,1.42,5.03,0.44,21.1,0.1,0.88,28.07,61.5,1.15,93.75,None
38,91,0.7,9.1,5.42,1.4,5.45,0.42,22.03,0.1,0.8,27.65,65.5,1.05,97.5,None
44,106,0.73,9.1,5.43,1.53,5.8,0.46,22.82,0.1,0.9,27.2,71,1.23,83.33,None
45.5,109.5,0.7,9,5.35,1.52,5.95,0.45,23.22,0.1,0.9,26.92,73,1.25,134,None
56,134.5,0.7,8.97,5.33,1.58,6.03,0.46,23.33,0.1,0.9,26.6,74,1.1,120,None
69.75,167.75,0.55,9.32,5.42,1.52,5.85,0.46,22.97,0.1,0.93,26.32,75.75,1.3,130.25,None
56.5,135.75,0.6,8.82,5.2,1.68,5.7,0.41,22.54,0.1,0.8,26.1,78.5,1.12,123,None
56.75,136.25,0.68,9.5,5.63,1.5,5.78,0.46,22.79,0.1,0.92,25.92,79.5,1.28,135.25,None
59.25,142.25,0.9,9.82,5.92,1.5,6.07,0.47,23.45,0.1,0.9,25.73,76.5,1.37,127.25,None
52,124.5,0.5,10.02,5.75,1.42,5.8,0.56,22.79,0.13,1.13,25.95,69.75,1.43,142.75,None
53,127.25,0.62,9.95,5.77,1.42,4.87,0.76,20.77,0.2,1.5,26.62,62,1.58,171.5,None
45.5,109.25,0.52,10.57,6.05,1.35,5.75,0.73,22.69,0.2,1.45,27.8,52.5,1.65,191,None
41.25,98.75,0.8,10.67,6.33,1.45,6.17,0.64,23.64,0.2,1.25,28.4,46.5,1.48,182.5,None
39.75,95.5,0.85,11.02,6.55,1.35,5.92,0.67,23.06,0.2,1.3,29.15,41,1.65,196.5,None
35.33,84.67,0.6,10.83,6.27,1.47,5.7,0.65,22.59,0.17,1.27,29.83,40.67,1.53,167,None
39.75,95.5,0.68,10.93,6.33,1.4,5.62,0.62,22.43,0.18,1.23,30.27,38.5,1.48,165.75,None
39.5,95,0.75,10.55,6.22,1.45,5.83,0.58,22.89,0.15,1.12,30.6,37,1.85,128.75,None
40.25,96.25,0.9,9.3,5.7,1.27,5.53,0.47,22.14,0.1,0.93,30.73,35.75,1.28,109.75,None
40.5,97,0.82,12.02,7.05,0.65,5.47,1.11,22.08,0.28,2.2,30.48,44.25,1.97,258.5,None
47.25,113.25,0.82,15.38,8.85,0.1,5.65,1.67,22.5,0.4,3.28,29.93,48,2.17,280.25,None
45.25,108.5,0.62,17.32,9.75,0.2,5.9,2.13,23.08,0.55,4.2,29.58,45.5,1.4,250.75,None
46,110,0.43,16.12,8.9,1.68,5.72,1.67,22.66,0.43,3.33,29.03,53,1.4,84.75,None
46.5,111.25,0.62,13.72,7.8,1.88,5.53,1.07,22.17,0.3,2.12,28.35,62.5,0.98,151,None
47.25,113.25,1.05,13.25,7.88,1.77,5.75,0.83,22.69,0.2,1.65,27.95,58.5,0.93,179.25,None
42.5,102,0.9,12.78,7.5,1.7,5.57,0.71,22.3,0.2,1.4,27.45,59.25,1.2,195,None
33,79.25,0.58,12.1,6.93,2.02,5.9,0.55,23.03,0.1,1.1,27,63,1.18,214.5,None
28,67.25,0.82,11.75,6.95,2.12,6.3,0.54,23.96,0.1,1.05,26.7,67,1.38,209.5,None
30.5,73,0.85,11.82,6.95,1.98,6.05,0.52,23.43,0.1,1.02,26.35,68.75,1.33,213.25,None
29,70,0.57,11.8,6.72,2.1,6.1,0.46,23.49,0.1,0.9,26.05,68.75,1.12,188.5,None
27.67,66.67,0.73,11.63,6.77,2.1,5.93,0.46,23.07,0.1,0.9,25.83,67,1,208,None
28.25,67.75,0.88,12.6,7.4,1.8,5.83,0.54,22.94,0.15,1.07,25.55,67,1.05,214,None
37.5,89.75,0.5,13.32,7.47,1.57,5.77,0.69,22.77,0.2,1.38,25.32,65.5,1.12,230.25,None
37.25,89,0.6,13.93,7.9,1.6,5.77,0.81,22.74,0.2,1.55,25.25,65,1.15,224.75,None
40.25,96.25,0.42,14.5,8.07,1.5,6,1.03,23.26,0.27,2.03,25.53,54.5,1.3,232,None
