PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
27,44,0.5,29.45,16.05,14.18,3.77,0.39,23.95,0.2,0.45,27.2,89.75,0.88,85.5,711
24,41,0.45,24.35,13.35,14.05,3.4,0.42,None,0.2,0.4,22.65,90,1,82.5,711
31.33,40.33,1.1,22.45,12.85,12.55,2.1,0.32,22.55,0.2,0.43,21.77,87.33,1.13,83.67,711
36,45,0.9,24,13.5,12.6,2.15,0.33,27.65,0.17,0.37,21.77,87.33,0.9,79.67,711
32,49,0.65,24.65,13.6,13.15,1.8,0.33,26.15,0.2,0.5,21.75,91,1,96,712
35,48,0.85,26.5,14.75,14.4,3.7,0.45,23.99,0.2,0.4,24.8,92,1.15,83,712
34,54,0.8,37.6,20.6,13.3,4.1,0.45,24.83,0.2,0.4,26.9,85,1.9,77,713
26.75,52.25,0.93,40.3,22.2,13.05,5.97,0.58,23.52,0.2,0.35,26.75,82.25,2,76.25,714
30,55.33,0.5,41.53,22.47,13.4,4.47,0.56,25.23,0.2,0.43,26.7,75.33,1.77,83.67,713.33
30,54.25,0.72,35.35,19.4,12.15,2.57,0.55,27.43,0.2,0.45,20.35,70,1.88,90.5,712.5
24,55,0.77,32.4,17.9,11.03,1.4,0.48,37.15,0.2,0.47,20.87,64.67,1.93,91,712
25.5,48.5,0.8,27.3,15.15,11.55,0.2,0.47,53.27,0.2,0.5,21.15,64.5,2.15,90.5,710.5
20.5,43.5,1.02,23.77,13.48,11.05,2.43,0.42,47.87,0.2,0.43,20.65,66.25,1.93,83,710
19.67,42.33,0.77,29.57,16.3,12.6,3.7,0.43,47.39,0.2,0.47,25.33,69.67,1.77,86.67,710
20,43.5,0.8,32.4,17.9,13.15,5.6,0.42,49.7,0.2,0.45,27,72.5,2.05,86.5,710
20.25,39.5,0.8,35.9,19.75,13.3,6.25,0.5,50.72,0.2,0.4,27,77.75,1.62,78.75,710.5
23.5,45,0.55,40.8,22.15,13.35,5.3,0.65,48.59,0.2,0.4,26.9,81,1.65,75.5,711
24,47.67,0.6,34.07,18.6,13.4,4.47,0.72,49.9,0.2,0.37,23.07,83.33,1.67,73,712
25.33,47.33,0.8,30.77,17,13.03,3.35,0.7,54.48,0.2,0.33,22.83,84.67,1.67,74.67,712.67
